channel_id,channel_title,channel_url,niche,subscriber_count
UC8CjO6iQtdo_5_VUNMqpJhQ,Passando Plantão Podcast,https://www.youtube.com/channel/UC8CjO6iQtdo_5_VUNMqpJhQ,estudos,3910
UC7-3DJwvSwUF22Zu59ZQB9Q,Podcast Studio Pro | Cristian Thume ,https://www.youtube.com/channel/UC7-3DJwvSwUF22Zu59ZQB9Q,formação,3640
UCG46UiuFWr1Ydfi-BVHPxiw,O Forasteiro,https://www.youtube.com/channel/UCG46UiuFWr1Ydfi-BVHPxiw,alfabetização,3630
UCcU87U8xUG5Y5_OI0RVRXrw,Pedagogia Podcast,https://www.youtube.com/channel/UCcU87U8xUG5Y5_OI0RVRXrw,educação,3500
UCFfPOYpCwGt8qEd16j1Wa1Q,TecSec Podcast,https://www.youtube.com/channel/UCFfPOYpCwGt8qEd16j1Wa1Q,ensino,3420
UCSOWXnfMvCWoU3CaJQjCuYw,UQ! Podcast,https://www.youtube.com/channel/UCSOWXnfMvCWoU3CaJQjCuYw,escola,3350
UC1vwShhGHAjCC5JmSroUBwg,O Alerta! Podcast,https://www.youtube.com/channel/UC1vwShhGHAjCC5JmSroUBwg,instrução,3220
UCpWmlyjU5SmIb0iiRES18VQ,Made of Iron PodCast,https://www.youtube.com/channel/UCpWmlyjU5SmIb0iiRES18VQ,treinamento,3210
UCd_HOnwTKPm5edkgO6QuR8w,Na Prática Podcast,https://www.youtube.com/channel/UCd_HOnwTKPm5edkgO6QuR8w,aprendizado,3010
UCO0tjVWBxGYVv_YN4d0MoXg,LIKE A BOSS PODCAST ,https://www.youtube.com/channel/UCO0tjVWBxGYVv_YN4d0MoXg,formação continuada,2760
UCZbosRS5j4V4y9KAZpkysuQ,Improvável Podcast,https://www.youtube.com/channel/UCZbosRS5j4V4y9KAZpkysuQ,aprendizado,2660
UCEBwdPQRq9hWkq43_nClQUw,Só Ensina Quem Faz - Podcast G4 Educação,https://www.youtube.com/channel/UCEBwdPQRq9hWkq43_nClQUw,educação,2570
UChzMd1kNk4ojaZuiv7g8WVw,Utopia Podcast,https://www.youtube.com/channel/UChzMd1kNk4ojaZuiv7g8WVw,didática,2490
UC0zCF20ATA0z59qvWBYQVUA,A Diretoria. O Podcast.,https://www.youtube.com/channel/UC0zCF20ATA0z59qvWBYQVUA,conhecimento,2290
UCf0L2vsHnOPCw_5TubdGzkA,COLÉGIO IPA | DIRETORIA PODCAST,https://www.youtube.com/channel/UCf0L2vsHnOPCw_5TubdGzkA,ensino médio,2280
UCYu55U98YQ01XCAqoy7x3aw,Assunto da Hora Podcast,https://www.youtube.com/channel/UCYu55U98YQ01XCAqoy7x3aw,conhecimento,2260
UCvVg-6xUnO9h4wJRM5-FIxA,Plano A | PODCAST,https://www.youtube.com/channel/UCvVg-6xUnO9h4wJRM5-FIxA,formação,2250
UCIQeq_1pzKPhEPeT5yc_E0Q,Fala Pô! Podcast,https://www.youtube.com/channel/UCIQeq_1pzKPhEPeT5yc_E0Q,alfabetização,2180
UC6jAVtIsDPbUAUHJXWufZTA,Terceira Academia Podcast,https://www.youtube.com/channel/UC6jAVtIsDPbUAUHJXWufZTA,acadêmico,2130
UC3iH2OhGzmJx7yFFTPpEyOw,Endörfina TV com Michel Bögli,https://www.youtube.com/channel/UC3iH2OhGzmJx7yFFTPpEyOw,aprendizado,1980
UCkXEo5GQFVMEJS2Ic07Nutw,Super Shape Podcast,https://www.youtube.com/channel/UCkXEo5GQFVMEJS2Ic07Nutw,treinamento,1960
UC1wxnBlWGS2_5Ok7olZMUbg,Professor das Obras Podcast,https://www.youtube.com/channel/UC1wxnBlWGS2_5Ok7olZMUbg,docência,1870
UCNBk62WQ17mCj2lj6_7YcFg,iágora podcast,https://www.youtube.com/channel/UCNBk62WQ17mCj2lj6_7YcFg,formação,1800
UCwMATRp5zoI5oQxzz_toqfg,Know Podcast,https://www.youtube.com/channel/UCwMATRp5zoI5oQxzz_toqfg,conhecimento,1800
UC2E2h407bxQE_0Coy6h1MOg,DocShow Podcast,https://www.youtube.com/channel/UC2E2h407bxQE_0Coy6h1MOg,acadêmico,1740
