Canal,Link,Número de Inscritos
Blockchain Crypto Gang,https://www.youtube.com/channel/UCvx8jz-vVUyyUYOfDzTgwyw,142
EAtech Podcast,https://www.youtube.com/channel/UC3-g0UXFhAGiBI62J1xhN3A,126
Tecnologeo Podcast,https://www.youtube.com/channel/UC32Dy6XSxtYZ_Gi9kYdyyvQ,125
PodCast InfoTech RM,https://www.youtube.com/channel/UC01hFnJSlBijw55rbhXREuA,124
Entre Bits,https://www.youtube.com/channel/UCixfdzXFuUhdRuxhMKbSKmQ,115
Opelex Podcast,https://www.youtube.com/channel/UCdQO4aUD4CWluITf9r59N3w,112
Olenvo Podcast,https://www.youtube.com/channel/UC1WelFbGWoVtljJqFlnlbog,109
Novo Dia Podcast,https://www.youtube.com/channel/UCM6VCYYTbxjoImgSGuomQIg,103
Imperio Cloud,https://www.youtube.com/channel/UCobM8SFQvsH5qmHEXbR1IWg,100
H18M Podcast,https://www.youtube.com/channel/UCtfk5i3ApjDhpT_vO9Zk3GA,98
Podcast Elas Na Ciência,https://www.youtube.com/channel/UCVqnY_xBTecu_UlPrePT01w,96
Podcast: uma Ciência na rede,https://www.youtube.com/channel/UCbmWXEZEd__i3ETRcknc_yQ,95
PodCast PresenTEA,https://www.youtube.com/channel/UCdqrsOHZJLSn-JhVyoLjtdA,94
Living On Blockchain,https://www.youtube.com/channel/UCcEU6QW17JtehAedNfAnebw,87
Podcast Pilares da Ciência,https://www.youtube.com/channel/UCJnGR2w6iYTnKNvkoG67C2A,84
Ta Bom Pra TI Podcast,https://www.youtube.com/channel/UC4ZiTPvXtZyNkTsYWyqDxAA,82
La TERTULia de la Inteligencia Artificial Podcast,https://www.youtube.com/channel/UCRIMADFFyBU0ilbTAXDL6nQ,82
Amor ti Podcast,https://www.youtube.com/channel/UClHj0eNDibL4u_ldrlgzIvQ,77
The Big Potato Podcast,https://www.youtube.com/channel/UCStqsuZLh0P7Ez8a5eiJAUw,72
The Data Leadership Podcast,https://www.youtube.com/channel/UCRJtcjkgpAlf9q2BebqLk4g,72
Teimosia Produtiva Podcast,https://www.youtube.com/channel/UCGVrJAScia3UGQmpLZAehpg,71
Inspirado Podcast,https://www.youtube.com/channel/UCg8mMrmm-KhDdOyXtSMFGcw,70
Compartilhando Inovação - PodCast,https://www.youtube.com/channel/UCiMSHl645GzF-PRD_lwFDoQ,64
Excelentíssimo Podcast,https://www.youtube.com/channel/UCOgjnYwqP1cZyCNTpfbGgGw,62
OpenCast - Podcast,https://www.youtube.com/channel/UCdHRN2jf8cRjFSyRhAFz4yw,62
Blockchain Recorded Podcast,https://www.youtube.com/channel/UCBrXwDuG3PvlKe2F05hvzRA,62
Inovação Podcast,https://www.youtube.com/channel/UCkq6FM11HFkcScTaW0jpJjg,60
Hardware Talk NZ,https://www.youtube.com/channel/UComd3G4sYS67-iojCyXYZzA,60
Açaí com TI Podcast,https://www.youtube.com/channel/UCfLB3k7tlO2oDaISq3Rm-Jg,56
basTIdores Podcast,https://www.youtube.com/channel/UCAVEKl-XjM_fBQKesqtWdww,55
Cápsula Robótica,https://www.youtube.com/channel/UCxv7h8LC07V_KUtbLwlaoFg,54
Neural Podcast,https://www.youtube.com/channel/UCxEvz7YXYrx-wWZ3G5kmrbQ,50
Software Engineers' Podcast,https://www.youtube.com/channel/UCjh1LDdQuqwwXBtMPuWk3eg,50
Fernando Matos,https://www.youtube.com/channel/UCKashRsceQ0OdHdaHXDMUjQ,49
IT Security Watch,https://www.youtube.com/channel/UCEqGIl2hYbnucfMwxBN-cQQ,48
Gadgets for Familes Tech Show,https://www.youtube.com/channel/UC--DRiai7LIydw4ttgtO-Pg,48
The IaC Podcast,https://www.youtube.com/channel/UCc18wFoT1l2JMUQjB-FYk-A,44
PodSec,https://www.youtube.com/channel/UCfktfgUQ1nrHKnjyjy2LUuw,43
Depende de Ti Podcast,https://www.youtube.com/channel/UCbisPH1u4mLDMtsMAHD-n4g,41
Inteligência do Futuro,https://www.youtube.com/channel/UCy8mHHpGgGAhBLhmXnkB7uQ,41
Podcast do Zero ao 4.0,https://www.youtube.com/channel/UCNqZHQuSrc9GXp1R_M3zESw,40
Desenchufados Podcast,https://www.youtube.com/channel/UCTSIB-whYs40cvHmsMnmNoQ,37
